id,widget_id,person_id,link_id,category,name,value,value_num,creator_id,datetime,deleted
1,1,NA,NA,saved_settings,file_name,poids,NA,NA,2024-09-05 10:36:04,0
2,1,NA,NA,widget_position,NA,w=11;h=24;x=0;y=129;,NA,NA,2024-09-05 10:36:49,0
3,2,NA,NA,saved_settings,file_name,Taille,NA,NA,2024-09-05 12:16:31,0
4,2,NA,NA,widget_position,NA,w=11;h=22;x=0;y=153;,NA,NA,2024-09-05 12:39:35,0
5,2,NA,3,saved_settings,prog_language,r,NA,NA,2024-09-05 12:41:23,0
6,2,NA,3,saved_settings,output,figure,NA,NA,2024-09-05 12:41:23,0
7,2,NA,3,saved_settings,code,"library(dplyr)
library(ggplot2)
filtered_height <- d$measurement %>%
  filter(measurement_concept_id == 3036277) %>%
  select(person_id, value_as_number, measurement_datetime, unit_concept_id) %>%
  collect() %>%
  mutate(index = row_number())  # Ajouter un index

# Créer le graphique ggplot avec geom_point et geom_jitter
ggplot(filtered_height, aes(x = index, y = value_as_number)) +
  geom_point(color = 'blue') +
  geom_jitter(width = 0.2, height = 0) +  # Ajuster le jitter pour éviter le chevauchement
  labs(
    x = ""Index des patients"",
    y = ""Valeur de mesure"",
    title = ""Distribution des mesures de tailles""
  ) +
  theme_minimal()",NA,NA,2024-09-05 12:41:23,0
8,3,NA,NA,saved_settings,file_name,Poids des outlyers,NA,NA,2024-09-05 13:19:07,0
9,3,NA,NA,widget_position,NA,w=12;h=24;x=0;y=22;,NA,NA,2024-09-05 13:20:54,0
10,4,NA,NA,widget_position,NA,w=12;h=45;x=0;y=46;,NA,NA,2024-09-05 13:20:54,0
11,4,NA,NA,saved_settings,file_name,SanderboxClaire,NA,NA,2024-09-05 13:27:58,0
12,6,NA,NA,saved_settings,file_name,Poids des outlyers selon le séjour,NA,NA,2024-09-05 13:30:07,0
13,5,NA,NA,saved_settings,file_name,test_YA,NA,NA,2024-09-05 13:38:29,0
14,3,NA,8,saved_settings,prog_language,r,NA,NA,2024-09-06 08:39:31,0
15,3,NA,8,saved_settings,output,figure,NA,NA,2024-09-06 08:39:31,0
